CASE NO,alt_kft,Re_L,M_inf,alpha_deg,beta_deg,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
000,22.9,378100000.0,0.3269,-2.573,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
001,36.02,79740000.0,0.4699,18.8,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
002,4.985,314400000.0,0.4015,15.42,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
003,14.88,119200000.0,0.2464,10.27,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
004,0.271,166200000.0,0.1751,5.343,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
005,8.043,41070000.0,0.07855,1.323,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
006,24.51,237900000.0,0.2269,12.98,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
007,32.98,414600000.0,0.1325,-0.2233,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
008,31.31,294600000.0,0.2828,7.398,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
009,16.31,485500000.0,0.4475,12.62,0.0,181.1,54.72,364.8,1000.0,576.5,195.8,74.23,44.74,47.27,28.5
010,6.157,494500000.0,0.2466,6.495,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
011,0.3631,414300000.0,0.1601,-0.8951,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
012,26.26,82060000.0,0.478,-3.144,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
013,23.99,147600000.0,0.2065,3.916,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
014,35.36,39850000.0,0.2909,16.44,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
015,31.35,287000000.0,0.0578,11.99,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
016,36.16,391100000.0,0.4529,0.8187,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
017,17.33,307700000.0,0.3494,14.77,0.0,155.8,103.1,671.9,1000.0,704.4,242.0,73.65,56.62,42.9,37.43
